 x time
1143 0.68037 10.385660902
1144 0.68347 10.393974038
1145 0.68658 10.402301021
1146 0.6897 10.410644654
1147 0.69282 10.418962529
1148 0.69596 10.427324537
1149 0.6991 10.435638345
1150 0.70225 10.443988831
1151 0.70541 10.452315884
1152 0.70857 10.460629751
1153 0.71175 10.468973835
1154 0.71493 10.477309654
1155 0.71813 10.485652236
1156 0.72133 10.493970752
1157 0.72454 10.502294979
1158 0.72775 10.510641728
1159 0.73098 10.518989079
1160 0.73421 10.527321481
1161 0.73746 10.535636831
1162 0.74071 10.543984462
1163 0.74397 10.552306385
1164 0.74724 10.560656471
1165 0.75052 10.568968114
1166 0.75381 10.577304133
1167 0.7571 10.585649089
1168 0.7604 10.594004906
1169 0.76372 10.602318012
1170 0.76704 10.610634845
1171 0.77037 10.618982997
1172 0.77371 10.627308747
1173 0.77706 10.635656408
1174 0.78041 10.643971347
1175 0.78378 10.652301986
1176 0.78715 10.660650399
1177 0.79054 10.668961832
1178 0.79393 10.677295807
1179 0.79733 10.685644049
1180 0.80074 10.693990959
1181 0.80416 10.70232279
1182 0.80759 10.710638151
1183 0.81102 10.718984279
1184 0.81447 10.727304679
1185 0.81792 10.735647781
1186 0.82139 10.743965766
1187 0.82486 10.75229866
1188 0.82834 10.760643786
1189 0.83183 10.768988352
1190 0.83533 10.777324752
1191 0.83884 10.78563903
1192 0.84235 10.793986421
1193 0.84588 10.80230664
1194 0.84942 10.810650153
